ParticleID,X,Y,Z
255,7.03168e+08,2.9125e+07,-9.97014e+07
256,8.02086e+08,-2.09585e+08,-5.91687e+08
257,6.7974e+08,-1.4638e+08,-5.29399e+08
258,5.7508e+08,4.66454e+06,-8.20971e+08
259,2.07958e+08,-4.72737e+07,-1.23689e+09
260,5.41862e+08,-2.20153e+08,1.39417e+09
261,6.22327e+08,-2.6407e+08,1.0002e+09
262,6.62237e+08,-1.47677e+08,6.27537e+08
263,5.59459e+08,-2.08272e+08,3.24383e+08
264,7.2287e+08,-4.32659e+08,1.80728e+08
265,1.17122e+09,-7.823e+08,-2.16946e+08
266,8.79857e+08,-2.71562e+08,-3.19149e+08
267,4.86267e+08,-2.64929e+08,-6.54484e+08
268,4.04886e+08,-3.46602e+07,-8.91458e+08
269,6.28648e+08,-3.79661e+08,-1.28584e+09
270,4.41604e+08,-4.67693e+08,1.15169e+09
271,5.59045e+08,-6.62651e+08,1.04727e+09
272,5.50123e+08,-6.13946e+08,5.68365e+08
273,6.2918e+08,-6.66929e+08,3.87916e+08
274,6.94012e+08,-5.82584e+08,1.08154e+08
275,5.09012e+08,-7.63763e+08,-1.56069e+08
276,6.38953e+08,-8.25828e+08,-1.88585e+08
277,5.33257e+08,-3.86896e+08,-5.8132e+08
278,6.32446e+08,-1.27881e+09,-1.14235e+09
279,3.55375e+08,-3.76252e+08,-1.33059e+09
280,4.1592e+08,-5.31041e+08,1.23211e+09
281,1.12878e+08,-6.8538e+08,5.2869e+08
282,4.50535e+08,-8.09239e+08,5.86505e+08
283,3.52566e+08,-9.78282e+08,3.87951e+08
284,6.56324e+08,-9.30546e+08,3.64611e+08
285,5.6831e+08,-8.4975e+08,-4.37351e+08
286,6.79963e+08,-1.00745e+09,-2.40435e+08
287,5.52447e+08,-9.55477e+08,-5.6257e+08
288,3.68049e+08,-7.90771e+08,-7.96146e+08
289,2.8492e+08,-5.6827e+08,-1.24331e+09
290,3.21032e+08,-9.26854e+08,9.54804e+08
291,-8.41795e+06,-1.03464e+09,1.24679e+09
292,3.47743e+08,-1.27739e+09,5.59139e+08
293,5.30642e+08,-1.14717e+09,3.10271e+08
294,4.79458e+08,-1.5941e+09,-4.80694e+07
295,5.42513e+08,-1.21738e+09,-1.5263e+08
296,1.67634e+09,-1.16102e+09,6.58915e+08
297,4.64164e+08,-1.32459e+09,-4.03713e+08
298,2.87129e+08,-1.1881e+09,-6.71185e+08
299,2.89412e+08,-9.6585e+08,-1.15729e+09
300,6.3627e+08,6.64942e+08,1.14386e+09
301,2.22953e+08,1.12937e+09,6.90761e+08
302,3.45869e+08,1.27426e+09,4.7329e+08
303,3.74346e+08,1.57206e+09,2.22469e+08
304,9.75765e+08,1.16103e+09,-1.87261e+08
305,4.5955e+08,1.31688e+09,-1.5842e+08
306,3.29577e+08,1.48255e+09,-3.10978e+08
307,3.2863e+08,1.21172e+09,-2.68014e+08
308,2.34328e+08,1.16621e+09,-5.92385e+08
309,2.68257e+08,9.88e+08,-9.97996e+08
310,2.86198e+08,7.08743e+08,1.13868e+09
311,3.8907e+08,9.02209e+08,8.06975e+08
312,2.97411e+08,1.1339e+09,5.83324e+08
313,4.57449e+08,1.0245e+09,4.82258e+08
314,5.74709e+08,1.07929e+09,2.88821e+08
315,4.92851e+08,8.74135e+08,-1.48505e+08
316,5.4487e+08,9.95454e+08,-3.96698e+08
317,4.21253e+08,9.00875e+08,-7.58426e+08
318,3.53941e+08,8.82619e+08,-9.65738e+08
319,3.02249e+08,6.87068e+08,-1.20462e+09
320,3.13421e+08,4.95151e+08,1.27099e+09
321,5.11516e+08,7.0863e+08,9.20755e+08
322,5.80146e+08,8.1415e+08,5.41801e+08
323,4.17502e+08,8.42416e+08,1.95766e+08
324,4.89855e+08,5.66814e+08,1.31815e+07
325,3.39878e+08,5.70915e+08,-6.9771e+07
326,5.11323e+08,7.06878e+08,-3.0797e+08
327,5.26011e+08,6.16705e+08,-5.14983e+08
328,8.48341e+08,6.57841e+08,3.93957e+08
329,-1.159e+08,5.89449e+08,-2.70104e+09
330,3.01496e+08,3.41688e+08,1.47096e+09
331,1.5921e+08,4.22305e+08,9.32323e+08
332,5.41593e+08,4.27013e+08,6.54317e+08
333,6.17881e+08,4.4411e+08,2.16084e+08
334,5.63355e+08,3.59844e+08,5.07451e+07
335,4.09788e+08,4.62298e+08,-1.15133e+08
336,5.05307e+08,4.19189e+08,-2.76923e+08
337,5.59917e+08,4.6868e+08,-7.33251e+08
338,3.42842e+08,4.30614e+08,-1.04975e+09
339,2.80826e+08,3.36719e+08,-1.4409e+09
340,2.7147e+08,1.50927e+08,1.63854e+09
341,3.21025e+08,1.57529e+08,1.0221e+09
342,3.7145e+08,7.37191e+07,7.12865e+08
